Idp,Vel:0,Vel:1,Vel:2,Rhop,Type,Mk,Points:0,Points:1,Points:2
327,0,0,0,1000,0,11,-0.5,0,0.8175
328,0,0,0,1000,0,11,-0.5,0,0.82
329,0,0,0,1000,0,11,-0.5,0,0.8225
330,0,0,0,1000,0,11,-0.5,0,0.825
331,0,0,0,1000,0,11,-0.5,0,0.8275
332,0,0,0,1000,0,11,-0.5,0,0.83
333,0,0,0,1000,0,11,-0.5,0,0.8325
334,0,0,0,1000,0,11,-0.5,0,0.835
335,0,0,0,1000,0,11,-0.5,0,0.8375
336,0,0,0,1000,0,11,-0.5,0,0.84
337,0,0,0,1000,0,11,-0.5,0,0.8425
338,0,0,0,1000,0,11,-0.5,0,0.845
339,0,0,0,1000,0,11,-0.5,0,0.8475
340,0,0,0,1000,0,11,-0.5,0,0.85
341,0,0,0,1000,0,11,-0.5,0,0.8525
342,0,0,0,1000,0,11,-0.5,0,0.855
343,0,0,0,1000,0,11,-0.5,0,0.8575
344,0,0,0,1000,0,11,-0.5,0,0.86
345,0,0,0,1000,0,11,-0.5,0,0.8625
346,0,0,0,1000,0,11,-0.5,0,0.865
347,0,0,0,1000,0,11,-0.5,0,0.8675
348,0,0,0,1000,0,11,-0.5,0,0.87
349,0,0,0,1000,0,11,-0.5,0,0.8725
350,0,0,0,1000,0,11,-0.5,0,0.875
351,0,0,0,1000,0,11,-0.5,0,0.8775
352,0,0,0,1000,0,11,-0.5,0,0.88
353,0,0,0,1000,0,11,-0.5,0,0.8825
354,0,0,0,1000,0,11,-0.5,0,0.885
355,0,0,0,1000,0,11,-0.5,0,0.8875
356,0,0,0,1000,0,11,-0.5,0,0.89
357,0,0,0,1000,0,11,-0.5,0,0.8925
358,0,0,0,1000,0,11,-0.5,0,0.895
359,0,0,0,1000,0,11,-0.5,0,0.8975
360,0,0,0,1000,0,11,-0.5,0,0.9
361,0,0,0,1000,0,11,-0.5,0,0.9025
362,0,0,0,1000,0,11,-0.5,0,0.905
363,0,0,0,1000,0,11,-0.5,0,0.9075
364,0,0,0,1000,0,11,-0.5,0,0.91
365,0,0,0,1000,0,11,-0.5,0,0.9125
366,0,0,0,1000,0,11,-0.5,0,0.915
367,0,0,0,1000,0,11,-0.5,0,0.9175
368,0,0,0,1000,0,11,-0.5,0,0.92
369,0,0,0,1000,0,11,-0.5,0,0.9225
370,0,0,0,1000,0,11,-0.5,0,0.925
371,0,0,0,1000,0,11,-0.5,0,0.9275
372,0,0,0,1000,0,11,-0.5,0,0.93
373,0,0,0,1000,0,11,-0.5,0,0.9325
374,0,0,0,1000,0,11,-0.5,0,0.935
375,0,0,0,1000,0,11,-0.5,0,0.9375
376,0,0,0,1000,0,11,-0.5,0,0.94
377,0,0,0,1000,0,11,-0.5,0,0.9425
378,0,0,0,1000,0,11,-0.5,0,0.945
