"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
542,0,0,0,1000,0,11,3.42,0,0
543,0,0,0,1000,0,11,3.43,0,0
544,0,0,0,1000,0,11,3.44,0,0
545,0,0,0,1000,0,11,3.45,0,0
546,0,0,0,1000,0,11,3.46,0,0
547,0,0,0,1000,0,11,3.47,0,0
548,0,0,0,1000,0,11,3.48,0,0
549,0,0,0,1000,0,11,3.49,0,0
550,0,0,0,1000,0,11,3.5,0,0
551,0,0,0,1000,0,11,3.51,0,0
552,0,0,0,1000,0,11,3.52,0,0
553,0,0,0,1000,0,11,3.53,0,0
554,0,0,0,1000,0,11,3.54,0,0
555,0,0,0,1000,0,11,3.55,0,0
556,0,0,0,1000,0,11,3.56,0,0
557,0,0,0,1000,0,11,3.57,0,0
558,0,0,0,1000,0,11,3.58,0,0
559,0,0,0,1000,0,11,3.59,0,0
560,0,0,0,1000,0,11,3.6,0,0
561,0,0,0,1000,0,11,3.61,0,0
562,0,0,0,1000,0,11,3.62,0,0
563,0,0,0,1000,0,11,3.63,0,0
564,0,0,0,1000,0,11,3.64,0,0
565,0,0,0,1000,0,11,3.65,0,0
566,0,0,0,1000,0,11,3.66,0,0
567,0,0,0,1000,0,11,3.67,0,0
568,0,0,0,1000,0,11,3.68,0,0
569,0,0,0,1000,0,11,3.69,0,0
570,0,0,0,1000,0,11,3.7,0,0
571,0,0,0,1000,0,11,3.71,0,0
572,0,0,0,1000,0,11,3.72,0,0
573,0,0,0,1000,0,11,3.73,0,0
574,0,0,0,1000,0,11,3.74,0,0
575,0,0,0,1000,0,11,3.75,0,0
576,0,0,0,1000,0,11,3.76,0,0
577,0,0,0,1000,0,11,3.77,0,0
578,0,0,0,1000,0,11,3.78,0,0
579,0,0,0,1000,0,11,3.79,0,0
580,0,0,0,1000,0,11,3.8,0,0
581,0,0,0,1000,0,11,3.81,0,0
582,0,0,0,1000,0,11,3.82,0,0
583,0,0,0,1000,0,11,3.83,0,0
584,0,0,0,1000,0,11,3.84,0,0
585,0,0,0,1000,0,11,3.85,0,0
586,0,0,0,1000,0,11,3.86,0,0
587,0,0,0,1000,0,11,3.87,0,0
588,0,0,0,1000,0,11,3.88,0,0
589,0,0,0,1000,0,11,3.89,0,0
590,0,0,0,1000,0,11,3.9,0,0
591,0,0,0,1000,0,11,3.91,0,0
592,0,0,0,1000,0,11,3.92,0,0
593,0,0,0,1000,0,11,3.93,0,0
594,0,0,0,1000,0,11,3.94,0,0
595,0,0,0,1000,0,11,3.95,0,0
596,0,0,0,1000,0,11,3.96,0,0
597,0,0,0,1000,0,11,3.97,0,0
